object,url
manjuvideo%2F1.mp4,https://qxc-oss.oss-cn-hangzhou.aliyuncs.com/manjuvideo/1.mp4
manjuvideo%2F2.mp4,https://qxc-oss.oss-cn-hangzhou.aliyuncs.com/manjuvideo/2.mp4
